proponent_agency,project_location,project_type,area_hectare,submission_date,approval_date,approval_status,eds_count,environmental_risk_score
Bastar Natural Resources,Durg,Sand Mining,12.65,2024-05-11,,Referred,2,0.34
Durg Construction Pvt Ltd,Korba,Infrastructure,5.5,2024-05-24,2024-06-18,Approved,3,0.8
Sunrise Quarry Co,Kanker,Brick Kiln,9.93,2024-06-22,,Referred,1,0.83
ABC Mining Ltd,Bilaspur,Industrial Plant,5.22,2023-12-02,,MoM Generated,3,0.15
Mahanadi Sand Works,Kanker,Infrastructure,7.28,2024-08-23,,Rejected,1,0.32
Shakti Infra Projects,Raigarh,Limestone Quarry,4.14,2023-11-26,2023-12-28,Approved,3,0.21
Raigarh Aggregates,Raipur,Limestone Quarry,13.34,2023-07-03,2023-08-06,Approved,0,0.22
Central India Mining Co,Kanker,Infrastructure,2.04,2023-04-27,,EDS,0,0.56
Shakti Infra Projects,Ambikapur,Brick Kiln,5.62,2024-02-10,,Referred,3,0.86
EcoBuild Developers,Durg,Infrastructure,11.18,2023-09-12,,EDS,3,0.33
Durg Construction Pvt Ltd,Ambikapur,Brick Kiln,3.81,2024-09-16,,Rejected,2,0.21
Raigarh Aggregates,Korba,Industrial Plant,4.07,2024-09-24,2024-11-05,Approved,3,0.22
EcoStone Extractors,Ambikapur,Infrastructure,6.36,2024-01-05,,EDS,2,0.25
Shiv Brick Industries,Raigarh,Limestone Quarry,11.07,2023-10-03,,Under Scrutiny,2,0.83
Green Earth Infrastructure,Jagdalpur,Limestone Quarry,1.55,2024-08-03,,MoM Generated,3,0.16
Bastar Natural Resources,Raipur,Infrastructure,13.94,2023-11-15,,Referred,3,0.86
Central India Mining Co,Jagdalpur,Brick Kiln,1.07,2023-02-18,,EDS,1,0.24
Bastar Natural Resources,Rajnandgaon,Sand Mining,9.84,2023-06-29,,Referred,3,0.21
ABC Mining Ltd,Raipur,Industrial Plant,9.99,2023-12-26,,Rejected,2,0.8
Durg Construction Pvt Ltd,Kanker,Limestone Quarry,6.62,2023-06-27,,EDS,0,0.55
Bastar Natural Resources,Rajnandgaon,Sand Mining,4.68,2023-10-03,,Rejected,3,0.27
Riverbed Minerals Pvt,Bilaspur,Brick Kiln,5.94,2023-06-21,,Referred,2,0.24
Shiv Brick Industries,Rajnandgaon,Sand Mining,12.14,2024-04-21,,EDS,0,0.46
Shiv Brick Industries,Bilaspur,Limestone Quarry,7.95,2023-07-08,,MoM Generated,1,0.78
Chhattisgarh Infra Group,Ambikapur,Industrial Plant,7.43,2023-10-09,,EDS,3,0.86
Shakti Infra Projects,Korba,Limestone Quarry,13.34,2024-06-30,,Rejected,2,0.27
Durg Construction Pvt Ltd,Raipur,Infrastructure,4.05,2024-04-19,2024-06-14,Approved,3,0.17
Mahanadi Sand Works,Korba,Limestone Quarry,5.41,2023-11-27,,MoM Generated,1,0.26
EcoStone Extractors,Raipur,Infrastructure,5.99,2023-08-20,,Rejected,0,0.39
ABC Mining Ltd,Raipur,Brick Kiln,3.23,2023-04-15,,Rejected,1,0.69
Shiv Brick Industries,Bilaspur,Infrastructure,4.13,2024-09-08,,Under Scrutiny,1,0.56
Chhattisgarh Infra Group,Ambikapur,Industrial Plant,7.53,2023-07-25,,Referred,0,0.83
Korba Limestone Corp,Kanker,Infrastructure,13.81,2023-07-02,,MoM Generated,1,0.31
EcoStone Extractors,Bilaspur,Limestone Quarry,4.74,2023-08-15,2023-11-17,Approved,2,0.45
Raigarh Aggregates,Kanker,Infrastructure,2.71,2023-04-01,,Under Scrutiny,3,0.19
Chhattisgarh Infra Group,Durg,Industrial Plant,5.63,2024-07-17,,EDS,3,0.21
Chhattisgarh Infra Group,Rajnandgaon,Brick Kiln,1.41,2023-02-26,,Referred,1,0.69
Raigarh Aggregates,Rajnandgaon,Infrastructure,10.13,2023-05-15,2023-06-19,Approved,2,0.47
ABC Mining Ltd,Jagdalpur,Sand Mining,10.11,2023-01-23,2023-03-11,Approved,1,0.5
ABC Mining Ltd,Raigarh,Limestone Quarry,11.91,2023-02-02,,Referred,0,0.51
Durg Construction Pvt Ltd,Korba,Brick Kiln,6.41,2023-12-26,,Under Scrutiny,2,0.74
Shakti Infra Projects,Ambikapur,Industrial Plant,8.08,2024-06-18,,Referred,3,0.75
Durg Construction Pvt Ltd,Durg,Infrastructure,3.04,2023-08-23,2023-10-19,Approved,2,0.24
Raigarh Aggregates,Rajnandgaon,Infrastructure,3.67,2024-06-27,2024-09-23,Approved,1,0.43
ABC Mining Ltd,Jagdalpur,Brick Kiln,5.19,2024-08-13,,Under Scrutiny,0,0.4
Shakti Infra Projects,Jagdalpur,Sand Mining,8.62,2023-12-08,2024-02-02,Approved,0,0.83
ABC Mining Ltd,Ambikapur,Industrial Plant,13.72,2024-04-04,,EDS,2,0.81
Mahanadi Sand Works,Raipur,Industrial Plant,14.8,2023-09-02,2023-09-20,Approved,2,0.13
Raigarh Aggregates,Kanker,Limestone Quarry,6.89,2024-10-14,,Referred,3,0.26
EcoBuild Developers,Raipur,Infrastructure,13.18,2024-10-15,,EDS,2,0.67
Riverbed Minerals Pvt,Rajnandgaon,Industrial Plant,7.58,2023-07-07,,Rejected,3,0.46
Central India Mining Co,Ambikapur,Infrastructure,2.12,2024-03-26,,Referred,2,0.52
Durg Construction Pvt Ltd,Ambikapur,Brick Kiln,2.55,2024-09-13,,EDS,3,0.4
Korba Limestone Corp,Kanker,Sand Mining,2.33,2024-03-15,,Rejected,1,0.18
Riverbed Minerals Pvt,Korba,Infrastructure,5.02,2024-10-26,,MoM Generated,0,0.24
Bastar Natural Resources,Jagdalpur,Brick Kiln,9.14,2023-03-26,,Referred,2,0.52
EcoStone Extractors,Durg,Infrastructure,12.67,2024-06-17,,MoM Generated,2,0.51
ABC Mining Ltd,Bilaspur,Sand Mining,1.42,2023-05-10,,Under Scrutiny,0,0.8
Chhattisgarh Infra Group,Bilaspur,Limestone Quarry,4.46,2024-01-15,,Rejected,2,0.49
Korba Limestone Corp,Bilaspur,Brick Kiln,13.99,2023-12-11,,Rejected,3,0.6
Chhattisgarh Infra Group,Durg,Limestone Quarry,6.65,2023-05-25,,Referred,3,0.34
Central India Mining Co,Raipur,Limestone Quarry,10.71,2024-06-08,,MoM Generated,0,0.82
Korba Limestone Corp,Raipur,Brick Kiln,7.1,2023-06-13,,EDS,1,0.52
ABC Mining Ltd,Kanker,Brick Kiln,1.18,2023-04-17,,Referred,1,0.43
Durg Construction Pvt Ltd,Raigarh,Infrastructure,10.04,2024-02-21,,Under Scrutiny,1,0.32
Shiv Brick Industries,Bilaspur,Sand Mining,13.41,2024-11-15,,Rejected,2,0.67
Bastar Natural Resources,Raigarh,Brick Kiln,12.27,2024-07-19,2024-10-12,Approved,0,0.28
Mahanadi Sand Works,Ambikapur,Infrastructure,10.21,2024-08-25,,Rejected,3,0.56
Durg Construction Pvt Ltd,Raigarh,Limestone Quarry,5.59,2023-05-19,,MoM Generated,3,0.17
Mahanadi Sand Works,Durg,Brick Kiln,9.77,2023-08-21,,Under Scrutiny,0,0.28
EcoBuild Developers,Raipur,Infrastructure,5.78,2023-04-01,2023-05-05,Approved,0,0.84
Durg Construction Pvt Ltd,Durg,Industrial Plant,3.39,2024-09-18,,Under Scrutiny,3,0.73
Raigarh Aggregates,Bilaspur,Infrastructure,6.54,2023-07-01,,Referred,2,0.15
Shiv Brick Industries,Jagdalpur,Brick Kiln,12.37,2023-04-05,,EDS,1,0.28
Bastar Natural Resources,Raipur,Sand Mining,9.31,2023-07-16,,EDS,0,0.61
Chhattisgarh Infra Group,Rajnandgaon,Brick Kiln,8.86,2023-08-19,,MoM Generated,3,0.11
EcoStone Extractors,Bilaspur,Industrial Plant,9.3,2024-02-20,,Under Scrutiny,0,0.58
Sunrise Quarry Co,Raigarh,Limestone Quarry,4.96,2023-06-02,,Under Scrutiny,1,0.46
Sunrise Quarry Co,Raipur,Industrial Plant,13.48,2024-09-19,,EDS,0,0.36
ABC Mining Ltd,Korba,Industrial Plant,14.6,2023-04-15,,Referred,2,0.13
EcoStone Extractors,Raipur,Industrial Plant,6.19,2023-03-30,,EDS,1,0.59
Mahanadi Sand Works,Jagdalpur,Industrial Plant,9.18,2023-04-10,,EDS,1,0.61
Shiv Brick Industries,Raipur,Brick Kiln,2.92,2024-11-05,,Rejected,3,0.14
ABC Mining Ltd,Raipur,Limestone Quarry,9.7,2023-12-29,,Under Scrutiny,2,0.54
ABC Mining Ltd,Bilaspur,Infrastructure,7.65,2023-03-05,,Referred,0,0.35
Green Earth Infrastructure,Ambikapur,Infrastructure,1.88,2024-02-01,,Referred,0,0.83
Shakti Infra Projects,Ambikapur,Limestone Quarry,2.8,2023-03-06,,Referred,0,0.18
Shiv Brick Industries,Kanker,Sand Mining,8.73,2024-01-21,,Under Scrutiny,1,0.88
Green Earth Infrastructure,Rajnandgaon,Brick Kiln,6.54,2024-01-23,,Referred,3,0.14
ABC Mining Ltd,Bilaspur,Limestone Quarry,5.59,2023-04-18,,Under Scrutiny,0,0.76
Chhattisgarh Infra Group,Rajnandgaon,Infrastructure,12.32,2023-07-18,,Referred,3,0.75
ABC Mining Ltd,Durg,Sand Mining,7.25,2024-08-14,,MoM Generated,3,0.79
EcoStone Extractors,Durg,Sand Mining,9.98,2023-07-21,,Rejected,1,0.6
Bastar Natural Resources,Raipur,Limestone Quarry,7.98,2024-08-20,,Under Scrutiny,0,0.42
Sunrise Quarry Co,Durg,Brick Kiln,12.48,2024-08-25,,EDS,2,0.53
EcoStone Extractors,Bilaspur,Industrial Plant,13.9,2023-10-16,,EDS,0,0.22
ABC Mining Ltd,Kanker,Limestone Quarry,13.32,2023-11-11,,Referred,0,0.44
Shakti Infra Projects,Ambikapur,Limestone Quarry,3.68,2023-01-18,,MoM Generated,2,0.3
Raigarh Aggregates,Korba,Brick Kiln,11.84,2024-11-14,,Referred,0,0.55
EcoBuild Developers,Kanker,Brick Kiln,12.72,2023-11-19,,Under Scrutiny,3,0.86
Raigarh Aggregates,Raipur,Brick Kiln,9.87,2023-06-06,2023-06-21,Approved,0,0.68
EcoStone Extractors,Jagdalpur,Industrial Plant,2.12,2023-08-31,,MoM Generated,0,0.33
Bastar Natural Resources,Bilaspur,Brick Kiln,3.3,2023-12-07,,Referred,2,0.31
Durg Construction Pvt Ltd,Korba,Limestone Quarry,13.26,2023-11-14,,EDS,2,0.23
ABC Mining Ltd,Raigarh,Limestone Quarry,11.13,2023-07-28,,MoM Generated,3,0.11
Durg Construction Pvt Ltd,Korba,Industrial Plant,11.11,2024-03-15,,Under Scrutiny,3,0.22
Shiv Brick Industries,Raigarh,Limestone Quarry,6.96,2024-10-13,,Referred,0,0.68
Shiv Brick Industries,Ambikapur,Industrial Plant,2.02,2024-02-27,,Rejected,1,0.29
EcoStone Extractors,Raipur,Industrial Plant,11.53,2023-03-07,2023-06-29,Approved,0,0.53
EcoBuild Developers,Rajnandgaon,Limestone Quarry,13.86,2023-09-02,,Rejected,1,0.64
Chhattisgarh Infra Group,Durg,Infrastructure,1.29,2024-11-02,,MoM Generated,3,0.41
Riverbed Minerals Pvt,Durg,Infrastructure,7.19,2023-10-09,2024-01-04,Approved,0,0.33
Chhattisgarh Infra Group,Ambikapur,Limestone Quarry,3.41,2024-08-30,,Referred,2,0.83
Raigarh Aggregates,Ambikapur,Industrial Plant,3.87,2024-11-06,,MoM Generated,1,0.37
Korba Limestone Corp,Raipur,Infrastructure,1.9,2023-11-02,2024-01-28,Approved,1,0.56
Shakti Infra Projects,Raipur,Sand Mining,14.88,2023-07-12,,EDS,2,0.76
Green Earth Infrastructure,Bilaspur,Industrial Plant,1.5,2023-04-21,,Under Scrutiny,3,0.21
Raigarh Aggregates,Ambikapur,Infrastructure,13.33,2024-08-26,,EDS,1,0.47
Shakti Infra Projects,Korba,Sand Mining,8.91,2024-03-13,,Under Scrutiny,1,0.32
ABC Mining Ltd,Korba,Sand Mining,3.43,2023-06-15,,MoM Generated,3,0.52
Durg Construction Pvt Ltd,Bilaspur,Limestone Quarry,14.3,2023-12-02,,Under Scrutiny,2,0.6
Shakti Infra Projects,Rajnandgaon,Brick Kiln,1.47,2024-02-08,,MoM Generated,1,0.25
EcoBuild Developers,Jagdalpur,Limestone Quarry,11.15,2023-01-06,,Rejected,0,0.19
Riverbed Minerals Pvt,Korba,Sand Mining,6.53,2023-08-22,,Rejected,3,0.86
EcoStone Extractors,Raipur,Sand Mining,6.4,2024-03-20,,MoM Generated,2,0.43
Durg Construction Pvt Ltd,Jagdalpur,Infrastructure,3.96,2023-03-28,2023-07-10,Approved,1,0.6
Korba Limestone Corp,Rajnandgaon,Brick Kiln,12.52,2023-12-26,,EDS,3,0.15
Durg Construction Pvt Ltd,Kanker,Limestone Quarry,7.57,2024-08-07,,Under Scrutiny,3,0.26
Durg Construction Pvt Ltd,Durg,Infrastructure,14.51,2023-10-19,,MoM Generated,1,0.51
Raigarh Aggregates,Raigarh,Infrastructure,4.36,2023-05-20,,Rejected,0,0.31
Central India Mining Co,Raipur,Limestone Quarry,7.24,2023-03-12,,Rejected,2,0.31
Shiv Brick Industries,Ambikapur,Brick Kiln,2.45,2024-06-22,,Referred,1,0.73
ABC Mining Ltd,Ambikapur,Industrial Plant,14.83,2023-08-31,,Rejected,0,0.62
Shiv Brick Industries,Bilaspur,Limestone Quarry,8.03,2023-09-21,2023-10-15,Approved,3,0.54
Bastar Natural Resources,Rajnandgaon,Sand Mining,3.78,2024-06-29,,EDS,3,0.33
Central India Mining Co,Bilaspur,Industrial Plant,12.32,2024-04-06,,Rejected,0,0.31
ABC Mining Ltd,Raigarh,Industrial Plant,9.93,2023-05-13,,Under Scrutiny,0,0.41
Shakti Infra Projects,Rajnandgaon,Brick Kiln,6.34,2023-12-18,,Under Scrutiny,0,0.79
Durg Construction Pvt Ltd,Rajnandgaon,Brick Kiln,3.25,2023-07-24,,MoM Generated,0,0.67
Mahanadi Sand Works,Bilaspur,Infrastructure,2.57,2023-01-29,,Rejected,1,0.59
Raigarh Aggregates,Ambikapur,Brick Kiln,2.64,2023-11-14,,Referred,0,0.83
Sunrise Quarry Co,Durg,Brick Kiln,13.5,2024-05-27,,MoM Generated,0,0.71
Raigarh Aggregates,Korba,Limestone Quarry,12.12,2023-03-24,,EDS,1,0.43
Chhattisgarh Infra Group,Bilaspur,Infrastructure,8.23,2023-12-14,,Referred,2,0.34
Chhattisgarh Infra Group,Durg,Sand Mining,9.22,2023-06-04,,MoM Generated,1,0.64
EcoStone Extractors,Bilaspur,Infrastructure,6.46,2023-02-01,,Under Scrutiny,0,0.64
Chhattisgarh Infra Group,Korba,Brick Kiln,13.15,2023-09-17,,MoM Generated,3,0.64
Central India Mining Co,Korba,Limestone Quarry,3.94,2023-02-08,,EDS,2,0.27
EcoStone Extractors,Ambikapur,Brick Kiln,11.29,2024-06-14,,Referred,3,0.72
EcoStone Extractors,Ambikapur,Sand Mining,12.11,2024-03-29,2024-06-30,Approved,0,0.32
Raigarh Aggregates,Raigarh,Brick Kiln,1.64,2023-03-17,,Rejected,1,0.62
Green Earth Infrastructure,Raigarh,Brick Kiln,11.31,2023-12-14,2023-12-29,Approved,3,0.45
Bastar Natural Resources,Kanker,Brick Kiln,8.85,2023-05-03,,Under Scrutiny,3,0.64
EcoStone Extractors,Bilaspur,Brick Kiln,10.96,2024-04-20,,Referred,0,0.79
Korba Limestone Corp,Raipur,Limestone Quarry,8.18,2023-01-14,2023-03-31,Approved,0,0.79
Sunrise Quarry Co,Durg,Brick Kiln,3.8,2023-04-25,,Rejected,3,0.35
Korba Limestone Corp,Raipur,Infrastructure,12.93,2024-05-26,,Rejected,3,0.66
Shakti Infra Projects,Durg,Infrastructure,13.91,2023-07-07,,EDS,3,0.53
Central India Mining Co,Korba,Sand Mining,1.73,2024-03-11,,EDS,0,0.23
Sunrise Quarry Co,Korba,Limestone Quarry,12.19,2024-08-22,,Referred,1,0.83
EcoStone Extractors,Durg,Limestone Quarry,11.35,2024-06-05,,MoM Generated,3,0.15
Green Earth Infrastructure,Jagdalpur,Sand Mining,14.26,2023-09-20,,Referred,1,0.3
Bastar Natural Resources,Korba,Industrial Plant,11.87,2024-03-20,,Under Scrutiny,3,0.79
Raigarh Aggregates,Durg,Limestone Quarry,5.47,2024-06-20,,Referred,0,0.78
Riverbed Minerals Pvt,Durg,Sand Mining,6.88,2023-06-18,,MoM Generated,3,0.74
Mahanadi Sand Works,Rajnandgaon,Industrial Plant,14.31,2023-03-19,,MoM Generated,3,0.31
Central India Mining Co,Bilaspur,Sand Mining,2.26,2024-04-02,,Under Scrutiny,1,0.17
EcoBuild Developers,Kanker,Infrastructure,9.25,2024-11-21,,Rejected,2,0.25
Central India Mining Co,Kanker,Industrial Plant,4.63,2024-06-22,,MoM Generated,2,0.77
Shiv Brick Industries,Jagdalpur,Brick Kiln,6.44,2024-01-16,,Referred,0,0.64
EcoStone Extractors,Raigarh,Limestone Quarry,12.45,2023-11-16,,MoM Generated,0,0.64
Shakti Infra Projects,Durg,Industrial Plant,3.13,2024-02-24,,Rejected,1,0.34
Shiv Brick Industries,Rajnandgaon,Limestone Quarry,14.9,2024-11-19,,EDS,1,0.67
Chhattisgarh Infra Group,Rajnandgaon,Sand Mining,5.47,2024-08-23,,MoM Generated,0,0.2
Shiv Brick Industries,Ambikapur,Industrial Plant,3.92,2024-07-28,,Under Scrutiny,1,0.45
Chhattisgarh Infra Group,Raigarh,Industrial Plant,6.29,2024-03-03,2024-06-20,Approved,2,0.6
Riverbed Minerals Pvt,Korba,Sand Mining,8.61,2024-02-16,,Under Scrutiny,1,0.47
Korba Limestone Corp,Korba,Brick Kiln,3.72,2024-05-02,,MoM Generated,2,0.33
Shakti Infra Projects,Ambikapur,Brick Kiln,7.29,2024-11-05,,Rejected,1,0.27
Mahanadi Sand Works,Rajnandgaon,Brick Kiln,14.37,2024-11-23,,Referred,2,0.62
Chhattisgarh Infra Group,Raigarh,Industrial Plant,14.53,2023-03-16,,Rejected,1,0.26
Chhattisgarh Infra Group,Rajnandgaon,Limestone Quarry,10.58,2023-06-15,2023-09-05,Approved,3,0.86
Green Earth Infrastructure,Bilaspur,Industrial Plant,12.94,2024-06-06,,MoM Generated,2,0.81
Shiv Brick Industries,Raigarh,Sand Mining,10.93,2023-07-03,,EDS,0,0.31
Green Earth Infrastructure,Korba,Infrastructure,10.66,2024-08-05,,MoM Generated,3,0.34
Green Earth Infrastructure,Korba,Industrial Plant,5.8,2023-11-06,,Rejected,2,0.41
Central India Mining Co,Durg,Limestone Quarry,2.87,2023-07-19,,Referred,2,0.62
Shiv Brick Industries,Raigarh,Brick Kiln,8.03,2024-03-08,,MoM Generated,2,0.51
Chhattisgarh Infra Group,Raigarh,Industrial Plant,5.86,2023-10-14,,Rejected,0,0.7
Durg Construction Pvt Ltd,Durg,Limestone Quarry,13.11,2024-06-21,,MoM Generated,2,0.57
Bastar Natural Resources,Jagdalpur,Brick Kiln,4.95,2023-09-15,,Under Scrutiny,1,0.53
Riverbed Minerals Pvt,Kanker,Limestone Quarry,8.21,2024-05-30,,EDS,0,0.31
Shiv Brick Industries,Jagdalpur,Limestone Quarry,7.36,2023-02-01,,Referred,0,0.3
Chhattisgarh Infra Group,Durg,Industrial Plant,4.97,2023-03-08,2023-07-03,Approved,0,0.85
Korba Limestone Corp,Rajnandgaon,Limestone Quarry,9.33,2024-05-26,,EDS,3,0.48
Raigarh Aggregates,Raipur,Brick Kiln,13.19,2024-08-22,2024-11-26,Approved,3,0.35
Shakti Infra Projects,Raigarh,Infrastructure,13.47,2023-12-19,,EDS,3,0.81
Korba Limestone Corp,Durg,Sand Mining,12.33,2024-08-13,,MoM Generated,1,0.61
Central India Mining Co,Rajnandgaon,Limestone Quarry,8.07,2024-01-13,2024-03-26,Approved,2,0.76
Durg Construction Pvt Ltd,Korba,Industrial Plant,9.08,2023-09-17,,Referred,2,0.41
Central India Mining Co,Bilaspur,Limestone Quarry,4.63,2023-06-06,2023-06-29,Approved,3,0.5
Green Earth Infrastructure,Rajnandgaon,Industrial Plant,7.16,2024-08-24,,MoM Generated,3,0.37
Central India Mining Co,Ambikapur,Limestone Quarry,14.12,2023-08-11,,EDS,1,0.19
Raigarh Aggregates,Kanker,Limestone Quarry,10.52,2023-07-02,2023-07-24,Approved,0,0.42
Chhattisgarh Infra Group,Raigarh,Infrastructure,1.43,2023-05-03,2023-06-11,Approved,2,0.39
Shiv Brick Industries,Ambikapur,Limestone Quarry,1.86,2024-03-31,,EDS,1,0.83
Durg Construction Pvt Ltd,Rajnandgaon,Limestone Quarry,2.31,2024-05-13,,Referred,0,0.66
Shakti Infra Projects,Ambikapur,Brick Kiln,9.82,2023-06-03,,MoM Generated,0,0.82
Bastar Natural Resources,Bilaspur,Industrial Plant,7.49,2023-08-09,,MoM Generated,3,0.48
Mahanadi Sand Works,Ambikapur,Infrastructure,5.87,2023-03-28,2023-05-04,Approved,2,0.8
ABC Mining Ltd,Raigarh,Infrastructure,5.13,2023-12-17,,Rejected,3,0.59
Sunrise Quarry Co,Ambikapur,Industrial Plant,14.93,2023-09-08,,Rejected,3,0.66
Riverbed Minerals Pvt,Korba,Infrastructure,5.78,2023-09-28,,Referred,0,0.13
Shiv Brick Industries,Raipur,Industrial Plant,4.63,2024-02-17,,MoM Generated,1,0.6
EcoBuild Developers,Bilaspur,Limestone Quarry,1.74,2023-02-19,,MoM Generated,3,0.73
EcoStone Extractors,Korba,Sand Mining,6.64,2023-08-17,,Referred,3,0.21
Korba Limestone Corp,Korba,Sand Mining,8.82,2023-05-18,,Under Scrutiny,0,0.53
Riverbed Minerals Pvt,Korba,Industrial Plant,10.34,2024-07-18,,Referred,3,0.88
Mahanadi Sand Works,Korba,Infrastructure,10.4,2024-01-15,,Under Scrutiny,2,0.4
EcoStone Extractors,Rajnandgaon,Brick Kiln,8.76,2023-11-11,2024-01-26,Approved,3,0.57
EcoBuild Developers,Ambikapur,Limestone Quarry,5.97,2024-10-23,,MoM Generated,2,0.2
Green Earth Infrastructure,Jagdalpur,Industrial Plant,6.49,2023-09-13,,MoM Generated,1,0.21
EcoBuild Developers,Korba,Brick Kiln,8.84,2024-03-07,,Referred,2,0.25
Mahanadi Sand Works,Kanker,Limestone Quarry,3.26,2023-10-20,,Rejected,1,0.3
Shakti Infra Projects,Kanker,Infrastructure,5.03,2024-04-25,2024-07-30,Approved,1,0.74
Korba Limestone Corp,Ambikapur,Sand Mining,8.63,2024-07-07,,EDS,3,0.18
Durg Construction Pvt Ltd,Ambikapur,Sand Mining,13.15,2024-04-29,,MoM Generated,0,0.75
Bastar Natural Resources,Ambikapur,Limestone Quarry,10.3,2023-02-26,,EDS,1,0.48
EcoBuild Developers,Korba,Industrial Plant,9.11,2023-04-04,,MoM Generated,3,0.26
Central India Mining Co,Rajnandgaon,Industrial Plant,12.6,2024-06-27,,Referred,1,0.53
Sunrise Quarry Co,Korba,Limestone Quarry,3.53,2023-06-04,,MoM Generated,1,0.45
Green Earth Infrastructure,Bilaspur,Sand Mining,9.27,2024-08-11,,Rejected,2,0.26
EcoBuild Developers,Raigarh,Brick Kiln,2.15,2024-04-30,,Under Scrutiny,3,0.55
Mahanadi Sand Works,Durg,Brick Kiln,12.55,2023-08-30,,Under Scrutiny,1,0.35
Chhattisgarh Infra Group,Kanker,Industrial Plant,14.15,2023-11-07,,Under Scrutiny,0,0.18
ABC Mining Ltd,Rajnandgaon,Sand Mining,3.93,2023-02-17,,EDS,1,0.69
EcoBuild Developers,Raipur,Infrastructure,9.49,2024-04-17,,EDS,2,0.82
Central India Mining Co,Durg,Infrastructure,9.33,2023-07-01,,Under Scrutiny,2,0.86
Central India Mining Co,Durg,Infrastructure,9.98,2023-02-17,,Under Scrutiny,3,0.46
Central India Mining Co,Ambikapur,Limestone Quarry,1.34,2024-06-14,,Referred,0,0.1
Shakti Infra Projects,Korba,Industrial Plant,2.77,2024-01-14,,Rejected,3,0.54
Shakti Infra Projects,Rajnandgaon,Infrastructure,3.8,2024-03-20,,MoM Generated,3,0.51
EcoBuild Developers,Kanker,Brick Kiln,13.68,2023-12-20,2024-01-14,Approved,3,0.38
Shakti Infra Projects,Raipur,Industrial Plant,12.82,2023-07-02,,Rejected,1,0.54
Riverbed Minerals Pvt,Jagdalpur,Infrastructure,5.71,2024-04-03,,EDS,2,0.42
Shakti Infra Projects,Bilaspur,Industrial Plant,14.74,2023-06-06,,Referred,2,0.82
Central India Mining Co,Bilaspur,Limestone Quarry,5.9,2023-02-22,,Referred,0,0.59
Shiv Brick Industries,Durg,Brick Kiln,1.17,2024-09-29,,Rejected,3,0.43
Chhattisgarh Infra Group,Korba,Limestone Quarry,10.67,2024-05-21,,Rejected,3,0.33
ABC Mining Ltd,Bilaspur,Brick Kiln,5.13,2023-06-12,2023-09-26,Approved,1,0.87
Shiv Brick Industries,Rajnandgaon,Limestone Quarry,5.68,2023-06-21,,Referred,2,0.22
Bastar Natural Resources,Raipur,Industrial Plant,11.97,2024-05-04,,Referred,3,0.8
Korba Limestone Corp,Durg,Brick Kiln,5.7,2023-07-17,,MoM Generated,3,0.14
Central India Mining Co,Korba,Limestone Quarry,5.21,2024-05-25,2024-09-21,Approved,3,0.61
Riverbed Minerals Pvt,Ambikapur,Sand Mining,11.35,2023-08-21,,EDS,1,0.27
Raigarh Aggregates,Bilaspur,Sand Mining,5.21,2023-10-03,,Rejected,1,0.6
ABC Mining Ltd,Durg,Brick Kiln,3.08,2024-02-11,,EDS,1,0.18
